dc_identifier,eid,prism_doi,pii,pubmed_id,orcid,link_self_href,link_scopus_href,link_scopus_citedby_href,prism_url,dc_title,first_author_name,prism_publicationname,prism_aggregationtype,prism_issn,prism_isbn,prism_volume,prism_issueidentifier,prism_pagerange,prism_coverdate,publication_year,publication_month,prism_coverdisplaydate,citedby_count,subtype,subtypedescription,first_affiliation_name,openaccess
SCOPUS_ID:85194385497,2-s2.0-85194385497,10.1177/10775463241252215,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85194385497,Active tuned mass damper for a benchmark tall building using an energy-harvesting electromagnetic damper,Shen J.,JVC/Journal of Vibration and Control,Journal,10775463,nan,31,1-2,104-118,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85193370376,2-s2.0-85193370376,10.1108/JHTI-01-2024-0077,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85193370376,"The effects of hawker influence and local gastronomy involvement on authenticity, personal nostalgia, and hawker cultural identity",Chua B.L.,Journal of Hospitality and Tourism Insights,Journal,25149792,nan,8,1,198-222,2025-01-02,2025,1,,0,ar,Article,,0
SCOPUS_ID:85193255377,2-s2.0-85193255377,10.1109/TPWRS.2024.3400691,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85193255377,Robust Hierarchical Grouping Learning Immune to Missing Data for Voltage Stability Assessment,Yang H.,IEEE Transactions on Power Systems,Journal,08858950,nan,40,1,689-700,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85192173198,2-s2.0-85192173198,10.1111/cfs.13185,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85192173198,Editorial: Child Protection in the Digital Age,Chui W.,Child and Family Social Work,Journal,13567500,nan,30,1,1-3,2025-02-01,2025,2,,0,re,Review,,1
SCOPUS_ID:85190859155,2-s2.0-85190859155,10.1177/08944393241247427,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85190859155,How Elites Invigorate Emotionality and Extremity in Digital Networks,Au A.,Social Science Computer Review,Journal,08944393,nan,43,1,48-66,2025-02-01,2025,2,,0,ar,Article,,0
SCOPUS_ID:85190387089,2-s2.0-85190387089,10.1007/s00371-024-03371-w,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85190387089,A novel approach for improving open scene text translation with modified GAN,Cheema Y.,Visual Computer,Journal,01782789,nan,41,2,869-881,2025-01-01,2025,1,,0,ar,Article,,1
SCOPUS_ID:85187007968,2-s2.0-85187007968,10.1109/TASE.2024.3370216,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85187007968,The Stack Loading Problem with Load-Bearing Limit,Zhang X.,IEEE Transactions on Automation Science and Engineering,Journal,15455955,nan,22,,1801-1816,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85186889782,2-s2.0-85186889782,10.1080/00405000.2024.2316396,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85186889782,Improved textile-vamp punching points location using CNN and priori regional template matching in the footwear industry,Yu Z.,Journal of the Textile Institute,Journal,00405000,nan,116,1,62-70,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85186221744,2-s2.0-85186221744,10.1080/02673037.2024.2312190,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85186221744,The effect of supply- and demand-side subsidies on low-income renters’ housing outcomes: evidence from South Korea,Seo B.K.,Housing Studies,Journal,02673037,nan,40,3,538-564,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85185513146,2-s2.0-85185513146,10.1080/19388160.2024.2311174,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85185513146,Understanding Baby Boomers’ Psychological Contradiction in Adopting Automatic Technology: An Application of Protection Motivation Theory,Ka Yan L.,Journal of China Tourism Research,Journal,19388160,nan,21,1,87-109,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85185477248,2-s2.0-85185477248,10.1080/19388160.2024.2312979,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85185477248,Face Consciousness and Moral Ambiguity: Consumers’ Willingness to Patronize Hospitality Knockoff Brands,Guillet B.D.,Journal of China Tourism Research,Journal,19388160,nan,21,1,69-86,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85184722296,2-s2.0-85184722296,10.1177/10946705241230851,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85184722296,Simple Morning and Complex Night: Time of Day and Complex Sensory Experiences,Luo A.,Journal of Service Research,Journal,10946705,nan,28,2,246-261,2025-05-01,2025,5,,0,ar,Article,,0
SCOPUS_ID:85183988630,2-s2.0-85183988630,10.1109/TNNLS.2024.3352974,,38271159,,,,,https://api.elsevier.com/content/abstract/scopus_id/85183988630,Norest-Net: Normal Estimation Neural Network for 3-D Noisy Point Clouds,Zhang Y.,IEEE Transactions on Neural Networks and Learning Systems,Journal,2162237X,nan,36,2,2246-2258,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85183652017,2-s2.0-85183652017,10.1080/0361073X.2024.2306457,,38278144,,,,,https://api.elsevier.com/content/abstract/scopus_id/85183652017,Examining the Utility of a Multiple Group Membership Intervention for Alleviating the Effects of Age-Based Stereotype Threat on Older adults’ Memory Performance,Parker G.J.,Experimental Aging Research,Journal,0361073X,nan,51,1,103-124,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85183142761,2-s2.0-85183142761,10.1016/j.pursup.2024.100895,S1478409224000013,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85183142761,Revisiting the interplay of trust and contracts: The roles of technological turbulence and dependence disadvantage,Wang K.,Journal of Purchasing and Supply Management,Journal,14784092,nan,31,1,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85181454317,2-s2.0-85181454317,10.1515/applirev-2023-0262,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85181454317,By the way I want to give you some masks: exploring multimodal stance-taking in YouTube videos,Ho W.Y.J.,Applied Linguistics Review,Journal,18686303,nan,16,1,79-99,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85180643075,2-s2.0-85180643075,10.1177/14648849231223809,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85180643075,"War, Tool, Race or Building? A comparison of vaccine metaphors between (translated) media and scientific reports in the age of COVID-19",Liu Y.,Journalism,Journal,14648849,nan,26,1,128-148,2025-01-01,2025,1,,0,ar,Article,,1
SCOPUS_ID:85179942070,2-s2.0-85179942070,10.1080/21622965.2023.2289589,,38060810,,,,,https://api.elsevier.com/content/abstract/scopus_id/85179942070,Competing views on interventions for pragmatic language skills in persons with pragmatic language impairment: An umbrella review,Alduais A.,Applied Neuropsychology: Child,Journal,21622965,nan,14,2,264-280,2025-01-01,2025,1,,0,re,Review,,0
SCOPUS_ID:85178409613,2-s2.0-85178409613,10.1080/00450618.2023.2289376,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85178409613,Multidimensional foot measurements-based sex estimation for Taiwanese population in foot length overlapping interval,Lee Y.C.,Australian Journal of Forensic Sciences,Journal,00450618,nan,57,1,87-101,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85176234888,2-s2.0-85176234888,10.1177/13567667231211349,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85176234888,Re-assessing hotel room performance before and during the pandemic,Kim J.J.,Journal of Vacation Marketing,Journal,13567667,nan,31,2,501-518,2025-04-01,2025,4,,0,ar,Article,,0
SCOPUS_ID:85175475523,2-s2.0-85175475523,10.1080/00472336.2023.2270585,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85175475523,Protests in Macao Under Chinese Sovereignty: Against the State or for the State?,Kwong Y.h.,Journal of Contemporary Asia,Journal,00472336,nan,55,1,116-133,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85164100265,2-s2.0-85164100265,10.1080/01434632.2023.2230184,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85164100265,Nigerian students’ attitudes toward endonormative varieties of Nigerian English,Aboh S.C.,Journal of Multilingual and Multicultural Development,Journal,01434632,nan,46,4,1215-1228,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85162872226,2-s2.0-85162872226,10.1177/0887302X231183737,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85162872226,Predicting the Thermal Protective Performance of Smart Fabric Systems With a Shape Memory Layer Using Machine Learning Models,Pan M.,Clothing and Textiles Research Journal,Journal,0887302X,nan,43,1,19-31,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85162242378,2-s2.0-85162242378,10.1080/21622965.2023.2224483,,37337141,,,,,https://api.elsevier.com/content/abstract/scopus_id/85162242378,Examining pragmatic language development in preschoolers with and without neurodevelopmental disorders: A cross-sectional study,Alduais A.,Applied Neuropsychology: Child,Journal,21622965,nan,14,1,29-45,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:105002809848,2-s2.0-105002809848,10.1364/OE.547717,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002809848,SMNS structure based fiber optic interferometer for cadmium detection,Wang X.,Optics Express,Journal,,nan,33,8,17233-17244,2025-04-21,2025,4,,0,ar,Article,,1
SCOPUS_ID:105002803355,2-s2.0-105002803355,10.1186/s12912-025-02778-7,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002803355,Social media-based bibliotherapy for improving the mental health of informal caregivers of people with dementia: a randomized controlled trial,Wang S.,BMC Nursing,Journal,,nan,24,1,,2025-12-01,2025,12,,0,ar,Article,,1
SCOPUS_ID:105002799987,2-s2.0-105002799987,10.1016/j.patcog.2025.111661,S0031320325003218,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002799987,Separation of Unknown Features and Samples for Unbiased Source-free Open Set Domain Adaptation,Li F.,Pattern Recognition,Journal,00313203,nan,166,,,2025-10-01,2025,10,,0,ar,Article,,0
SCOPUS_ID:105002799864,2-s2.0-105002799864,10.1021/acsnano.5c03074,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002799864,Crystallographic Engineering in Micron-Sized SiO<inf>x</inf> Anode Material Toward Stable High-Energy-Density Lithium-Ion Batteries,Li J.,ACS Nano,Journal,19360851,nan,,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:105002795734,2-s2.0-105002795734,10.1016/j.dam.2025.04.015,S0166218X25001878,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002795734,Sufficient conditions for k-factors and spanning trees of graphs,Ao G.,Discrete Applied Mathematics,Journal,0166218X,nan,372,,124-135,2025-09-15,2025,9,,0,ar,Article,,0
SCOPUS_ID:105002793669,2-s2.0-105002793669,10.1016/j.apenergy.2025.125897,S0306261925006270,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002793669,Data integrity attack resilience for electric vehicle charging management centers in distributed optimal power flow with non-ideal Li-ion battery models,Lin J.,Applied Energy,Journal,03062619,nan,391,,,2025-08-01,2025,8,,0,ar,Article,,1
SCOPUS_ID:105002793534,2-s2.0-105002793534,10.1139/cgj-2024-0647,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002793534,A visco-hypoplastic model for normally consolidated and overconsolidated clays,He Y.Q.,Canadian Geotechnical Journal,Journal,00083674,nan,62,,1-18,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:105002792684,2-s2.0-105002792684,10.1128/mbio.03814-24,,39998215,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002792684,A novel plasmid-encoded transposon-derived small RNA reveals the mechanism of sRNA-regulated bacterial persistence,Lin S.L.,mBio,Journal,21612129,nan,16,4,,2025-04-01,2025,4,,0,ar,Article,,1
SCOPUS_ID:105002791578,2-s2.0-105002791578,10.1038/s43247-025-02278-1,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002791578,Power outage-risk integrated social vulnerability analysis highlights disparities in small residential communities,Ezzati F.,Communications Earth and Environment,Journal,,nan,6,1,,2025-12-01,2025,12,,0,ar,Article,,1
SCOPUS_ID:105002789146,2-s2.0-105002789146,10.1007/s40820-025-01745-w,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002789146,Intelligent Point-of-Care Biosensing Platform Based on Luminescent Nanoparticles and Microfluidic Biochip with Machine Vision Algorithm Analysis,Liu Y.,Nano-Micro Letters,Journal,23116706,nan,17,1,,2025-12-01,2025,12,,0,ar,Article,,1
SCOPUS_ID:105002783440,2-s2.0-105002783440,10.1016/j.jmps.2025.106144,S0022509625001206,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002783440,Force-field-induced energy-based design method for arbitrary prescribed modes in elastic metamaterials,Ren Z.,Journal of the Mechanics and Physics of Solids,Journal,00225096,nan,200,,,2025-07-01,2025,7,,0,ar,Article,,0
SCOPUS_ID:105002781208,2-s2.0-105002781208,10.1109/JAS.2024.125004,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002781208,Finite-time sliding-mode control for semi-Markov systems with delayed impulses,Ren F.,IEEE/CAA Journal of Automatica Sinica,Journal,23299266,nan,,,,2025-01-01,2025,1,,0,le,Letter,,0
SCOPUS_ID:105002780651,2-s2.0-105002780651,10.1088/2053-1583/ada626,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002780651,Single-layer MoSeN – a synthetic Janus two-dimensional transition-metal compound grown by plasma-assisted molecular beam epitaxy,Yue X.,2D Materials,Journal,,nan,12,2,,2025-04-01,2025,4,,0,ar,Article,,1
SCOPUS_ID:105002778446,2-s2.0-105002778446,10.1016/j.ijnonlinmec.2025.105117,S0020746225001052,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002778446,Constitutive modeling of rock failure behavior under pressure conditions spanning the brittle–ductile transition,Liu S.,International Journal of Non-Linear Mechanics,Journal,00207462,nan,175,,,2025-08-01,2025,8,,0,ar,Article,,0
SCOPUS_ID:105002773730,2-s2.0-105002773730,10.1186/s40537-025-01135-4,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002773730,Helformer: an attention-based deep learning model for cryptocurrency price forecasting,Kehinde T.O.,Journal of Big Data,Journal,,nan,12,1,,2025-12-01,2025,12,,0,ar,Article,,1
SCOPUS_ID:105002770816,2-s2.0-105002770816,10.23919/PCMP.2023.000159,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002770816,Interpretable Fault Diagnosis for Overhead Lines with Covered Conductors: A Physics-Informed Deep Learning Approach,Lu G.,Protection and Control of Modern Power Systems,Journal,23672617,nan,10,2,25-39,2025-01-01,2025,1,,0,ar,Article,,1
SCOPUS_ID:105002767531,2-s2.0-105002767531,10.3788/CJL241394,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002767531,Dual-Pumped Optical Frequency Comb Based on Cavity-Less Normal Dispersion Silicon Nitride Waveguides,Zhang Y.,Zhongguo Jiguang/Chinese Journal of Lasers,Journal,02587025,nan,52,7,,2025-04-01,2025,4,,0,ar,Article,,0
SCOPUS_ID:105002767182,2-s2.0-105002767182,10.1016/j.aei.2025.103353,S1474034625002460,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002767182,A multi-task engineering design intention recognition approach based on Vision Transformer and EEG data,Li M.,Advanced Engineering Informatics,Journal,14740346,nan,65,,,2025-05-01,2025,5,,0,ar,Article,,0
SCOPUS_ID:105002766418,2-s2.0-105002766418,10.1016/j.cej.2025.162655,S1385894725034813,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002766418,Deuteration solid additive strategy for high-performance and thermally robust organic solar cells,Li B.,Chemical Engineering Journal,Journal,13858947,nan,512,,,2025-05-15,2025,5,,0,ar,Article,,0
SCOPUS_ID:105002761012,2-s2.0-105002761012,10.13255/j.cnki.jusst.20250122001,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002761012,A prediction model of upper limb motion direction based on the surface-electromyography force mapping matrix,Wang L.,Shanghai Ligong Daxue Xuebao/Journal of University of Shanghai for Science and Technology,Journal,10076735,nan,47,1,19-29,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:105002760950,2-s2.0-105002760950,10.1021/acscatal.5c00090,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002760950,Boosting the C-C Coupling Efficiency for Diluted CO<inf>2</inf> Electroreduction to Dual Carbon Products,Zhang Y.,ACS Catalysis,Journal,,nan,,,7352-7360,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:105002755996,2-s2.0-105002755996,10.1039/d5ta00973a,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002755996,Directionally induced hydrogen bonding interactions of heteroatom-incorporated amine adsorbents for promoting steady CO<inf>2</inf> capture,Lin L.,Journal of Materials Chemistry A,Journal,20507488,nan,,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:105002755037,2-s2.0-105002755037,10.1109/TTE.2025.3559538,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002755037,Wavelet Transformer-Based Multi-Channel and Multi-Resolution Information Perceptron for Lithium-ion Battery State of Health Estimation,Bai T.,IEEE Transactions on Transportation Electrification,Journal,,nan,,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:105002751765,2-s2.0-105002751765,10.1021/acsomega.5c01505,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002751765,Geomimetic Thermosynthesis in Heterogeneous Structural Complexes of In Situ Growing Imine-Based COF on MXene for Enhanced Sodium Ion Storage,Luo X.,ACS Omega,Journal,,nan,,,,2025-01-01,2025,1,,0,ar,Article,,1
SCOPUS_ID:105002748538,2-s2.0-105002748538,10.1016/j.ejor.2025.04.003,S037722172500253X,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002748538,Channel structures and subscription strategies for AI-driven logistics data products,He S.,European Journal of Operational Research,Journal,03772217,nan,,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:105002748293,2-s2.0-105002748293,10.11715/rskxjs.R202408011,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002748293,A Review of Critical Oxygen Supply Characteristics of Smoldering Combustion,Qin Y.,Ranshao Kexue Yu Jishu/Journal of Combustion Science and Technology,Journal,10068740,nan,31,2,174-187,2025-01-01,2025,1,,0,re,Review,,0
SCOPUS_ID:105002746585,2-s2.0-105002746585,10.1016/j.eswa.2025.127634,S0957417425012564,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002746585,A novel fault diagnosis method based on deep stable learning for bearings with imbalanced data samples,Xu Z.,Expert Systems with Applications,Journal,09574174,nan,281,,,2025-07-01,2025,7,,0,ar,Article,,0
SCOPUS_ID:105002746010,2-s2.0-105002746010,10.1021/acs.jcim.4c02345,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002746010,Crystal Structure Prediction Using a Self-Attention Neural Network and Semantic Segmentation,Zhao W.,Journal of Chemical Information and Modeling,Journal,15499596,nan,,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:105002743877,2-s2.0-105002743877,10.1016/j.jcis.2025.137621,S0021979725010124,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002743877,Morphology-induced vacancy engineering of Co<inf>3</inf>O<inf>4</inf> nanoarrays on carbon felt enables high-performance vanadium flow batteries,Zhang K.,Journal of Colloid and Interface Science,Journal,00219797,nan,693,,,2025-09-01,2025,9,,0,ar,Article,,0
SCOPUS_ID:105002742588,2-s2.0-105002742588,10.1016/j.cnsns.2025.108876,S1007570425002874,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002742588,Dynamic analysis of electrically prestressed highly aligned graphene-reinforced dielectric porous arches under large deformation,Yang Z.,Communications in Nonlinear Science and Numerical Simulation,Journal,10075704,nan,147,,,2025-08-01,2025,8,,0,ar,Article,,0
SCOPUS_ID:105002742400,2-s2.0-105002742400,10.1073/pnas.2423052122,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002742400,Tetrathienylethene-based porous framework composites for boosting photocatalytic antibacterial activity,Ma S.,Proceedings of the National Academy of Sciences of the United States of America,Journal,00278424,nan,122,15,,2025-04-15,2025,4,,0,ar,Article,,1
SCOPUS_ID:105002740975,2-s2.0-105002740975,10.1073/pnas.2423991122,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002740975,Nat10-mediated N4-acetylcytidine modification enhances Nfatc1 translation to exacerbate osteoclastogenesis in postmenopausal osteoporosis,Mo X.,Proceedings of the National Academy of Sciences of the United States of America,Journal,00278424,nan,122,15,,2025-04-15,2025,4,,0,ar,Article,,1
SCOPUS_ID:105002738433,2-s2.0-105002738433,10.1109/JSEN.2025.3558916,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002738433,Invariant-DLIO: Direct LiDAR-Inertial Odometry Based on Invariant Kalman Filtering,Fang K.,IEEE Sensors Journal,Journal,1530437X,nan,,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:105002733011,2-s2.0-105002733011,10.1016/j.scitotenv.2025.179382,S0048969725010186,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002733011,Enhancing vegetation cover growth through water spreading bunds and dry afforestation in arid rangelands: Integrating remote sensing indicators with field insights,Abbas S.,Science of the Total Environment,Journal,00489697,nan,978,,,2025-05-25,2025,5,,0,ar,Article,,0
SCOPUS_ID:105002728762,2-s2.0-105002728762,10.1108/IJCHM-04-2024-0586,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002728762,Feelings matter in the digital age: the role of corporate digital responsibility on employee well-being and advocacy behavior,Lee S.A.,International Journal of Contemporary Hospitality Management,Journal,09596119,nan,,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:105002724812,2-s2.0-105002724812,10.1002/gch2.202500004,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002724812,"Recent Applications, Challenges, and Future Prospects of Microbial Fuel Cells: A Review",Chakma R.,Global Challenges,Journal,,nan,,,,2025-01-01,2025,1,,0,re,Review,,1
SCOPUS_ID:105002723037,2-s2.0-105002723037,10.1109/VR59515.2025.00070,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002723037,SRBF-Gaussian: Streaming-Optimized 3D Gaussian Splatting,Zhang D.,"Proceedings - 2025 IEEE Conference on Virtual Reality and 3D User Interfaces, VR 2025",Conference Proceeding,,"[{'@_fa': 'true', '$': '[9798331536459]'}]",,,461-471,2025-01-01,2025,1,,0,cp,Conference Paper,,0
SCOPUS_ID:105002722973,2-s2.0-105002722973,10.1080/02508281.2025.2477697,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002722973,Tourism and environmental sustainability at sea and coastal areas: uncovering the determinants of tourist water saving and recycling activities,Fakfare P.,Tourism Recreation Research,Journal,02508281,nan,,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:105002721443,2-s2.0-105002721443,10.1080/00405000.2025.2491453,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002721443,A review of high-visibility clothing for accident prevention and safety of workers and pedestrians,Seidu R.K.,Journal of the Textile Institute,Journal,00405000,nan,,,,2025-01-01,2025,1,,0,re,Review,,0
SCOPUS_ID:105002720341,2-s2.0-105002720341,10.1080/10255842.2025.2490139,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002720341,Effect of foot-shaped bionic shoes on ground reaction forces and foot stress at various running speeds,Gao S.,Computer Methods in Biomechanics and Biomedical Engineering,Journal,10255842,nan,,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:105002720305,2-s2.0-105002720305,10.1080/10589759.2025.2491731,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002720305,Fast and quantitative noncontact laser ultrasound tapping detection of debonding in aerospace honeycomb sandwich panel based on autoencoder-softmax,Wu Q.,Nondestructive Testing and Evaluation,Journal,10589759,nan,,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:105002716628,2-s2.0-105002716628,10.1080/10350330.2025.2492163,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002716628,Political othering and polarisation in Nigeria’s online electoral discourse: towards a culture of inter-political party tolerance,Ganaah J.,Social Semiotics,Journal,10350330,nan,,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:105002716275,2-s2.0-105002716275,10.1108/IJCHM-10-2024-1495,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002716275,Second chances in hospitality: analyzing the employment prospects for rehabilitated offenders,Chan J.,International Journal of Contemporary Hospitality Management,Journal,09596119,nan,,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:105002714542,2-s2.0-105002714542,10.1007/978-981-96-4207-6_52,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002714542,The Hub Location and Flow Assignment Problem in the High-Speed Railway and Highway Co-transportation Network,Shang X.,Lecture Notes in Computer Science,Book Series,03029743,"[{'@_fa': 'true', '$': '[9789819642069]'}]",15502 LNCS,,578-591,2025-01-01,2025,1,,0,cp,Conference Paper,,0
SCOPUS_ID:105002695284,2-s2.0-105002695284,10.1021/acsaem.5c00191,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002695284,"In Situ Growth of α-MoC Nanoparticles on Bamboo-Structured Carbon Nanotubes as Proton-Feeding Centers of the Fe Site, Achieving Efficient Oxygen Reduction Reaction in Multiple Environments",Cui X.,ACS Applied Energy Materials,Journal,,nan,,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:105002694524,2-s2.0-105002694524,10.1016/j.advengsoft.2025.103934,S0965997825000729,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002694524,Inverse design of multiband higher-order elastic topological insulators via generative deep learning,Fan L.,Advances in Engineering Software,Journal,09659978,nan,206,,,2025-08-01,2025,8,,0,ar,Article,,0
SCOPUS_ID:105002693768,2-s2.0-105002693768,10.1016/j.rtbm.2025.101372,S2210539525000872,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002693768,A similarity analysis of multiple airport regions based on market concentration worldwide,Sun X.,Research in Transportation Business and Management,Journal,22105395,nan,60,,,2025-06-01,2025,6,,0,ar,Article,,0
SCOPUS_ID:105002692931,2-s2.0-105002692931,10.1016/j.jechem.2025.03.025,S2095495625002384,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002692931,Supramolecular interaction chemistry in polymer electrolytes towards stable lithium metal batteries,Zhao Y.,Journal of Energy Chemistry,Journal,20954956,nan,107,,154-169,2025-08-01,2025,8,,0,re,Review,,0
SCOPUS_ID:105002692908,2-s2.0-105002692908,10.1109/TPWRD.2025.3559399,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002692908,Examination of EMT-Type Impedance Scanning Techniques for Small Signal Stability Assessment of Inverter Based Resources,Meng L.,IEEE Transactions on Power Delivery,Journal,08858977,nan,,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:105002692474,2-s2.0-105002692474,10.1109/COMST.2025.3558755,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002692474,"A Survey on Federated Analytics: Taxonomy, Enabling Techniques, Applications and Open Issues",Wang Z.,IEEE Communications Surveys and Tutorials,Journal,,nan,,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:105002692349,2-s2.0-105002692349,10.1016/j.irfa.2025.104233,S1057521925003205,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002692349,Firm-level economic policy uncertainty and M&amp;A: Evidence from MD&amp;A textual analysis,Zhang W.,International Review of Financial Analysis,Journal,10575219,nan,103,,,2025-07-01,2025,7,,0,ar,Article,,0
